Date,Adj Close,Close,High,Low,Open,Volume,SP500,DEXJPUS,DEXUSEU,CBBTCUSD,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,Typical_Price,Typical_Price_Return,Returns,Daily_Return
2020-06-03,421.9700012207031,421.9700012207031,427.1000061035156,418.04998779296875,426.95001220703125,4316000.0,3122.87,108.88,1.1246,9672.67,1.41,0.75,2.62,0.73,0.17,0.0,9.21213,422.3733317057292,-0.5697475388291018,-5.339996337890625,-0.012575515069765508
2020-06-04,414.3299865722656,414.3299865722656,428.7099914550781,410.0299987792969,422.3900146484375,5410500.0,3112.35,109.0,1.1322,9799.57,-0.34,0.5,2.89,0.98,0.63,0.0,9.27446,417.6899922688802,-1.1150083152507761,-7.6400146484375,-0.018271499004829828
2020-06-05,419.6000061035156,419.6000061035156,420.239990234375,404.25,407.2900085449219,5099600.0,3193.93,109.68,1.1297,9568.95,2.5,1.07,2.76,0.73,0.05,0.0,9.32751,414.69666544596356,-0.7192185742720625,5.27001953125,0.012639165718537626
2020-06-09,434.04998779296875,434.04998779296875,434.7300109863281,420.30999755859375,421.6499938964844,6797000.0,3207.18,107.66,1.1348,9778.6,-0.85,-0.78,-1.92,-0.04,-0.47,0.0,9.44199,429.69666544596356,3.3364309522960767,14.55999755859375,0.0341200422731438
2020-06-10,434.4800109863281,434.4800109863281,439.69000244140625,430.54998779296875,436.0,4896900.0,3190.14,107.25,1.1355,9899.18,-0.56,-1.8,-4.1,-0.33,-0.5,0.0,9.4436,434.9066670735677,1.205191905623515,0.430023193359375,0.0009902322984869372
2020-06-11,425.55999755859375,425.55999755859375,445.57000732421875,424.1600036621094,428.20001220703125,7462900.0,3002.1,106.67,1.1378,9258.7,-5.91,-1.46,-3.05,-0.19,-0.23,0.0,9.43424,431.7633361816406,-0.7253844400195497,-8.920013427734375,-0.020743996101503903
2020-06-12,418.07000732421875,418.07000732421875,434.05999755859375,412.45001220703125,429.0,6461100.0,3041.31,107.36,1.1253,9466.77,1.29,0.78,1.83,0.13,0.1,0.0,9.4139,421.52667236328125,-2.3994550147936167,-7.489990234375,-0.017757042773079768
2020-06-16,436.1300048828125,436.1300048828125,437.9599914550781,425.17999267578125,425.760009765625,5507900.0,3124.74,107.35,1.1259,9534.8,1.87,0.6,0.51,0.62,0.13,0.0,9.23505,433.0899963378906,2.4827108893968663,10.6300048828125,0.024675427226601876
2020-06-17,447.7699890136719,447.7699890136719,450.4599914550781,439.2200012207031,441.82000732421875,6529600.0,3113.49,107.26,1.1219,9460.53,-0.4,-1.32,-1.98,-0.56,-0.24,0.0,9.17213,445.81666056315106,2.896224239263212,11.639984130859375,0.026339307950925317
2020-06-18,449.8699951171875,449.8699951171875,452.760009765625,442.79998779296875,448.7300109863281,4277600.0,3115.34,106.78,1.1216,9368.15,0.19,0.02,-0.53,-0.4,-0.26,0.0,9.1023,448.47666422526044,0.5948856897224353,2.100006103515625,0.004678958094256558
2020-06-19,453.7200012207031,453.7200012207031,453.9700012207031,445.6000061035156,449.1199951171875,5934500.0,3097.74,106.89,1.1189,9285.54,-0.45,-0.13,-0.65,-0.73,-0.19,0.0,9.02552,451.09666951497394,0.5825011924369683,3.850006103515625,0.008521629096061467
2020-06-23,466.260009765625,466.260009765625,474.010009765625,464.5,466.5,5948400.0,3131.29,106.44,1.1322,9623.74,0.42,0.23,-0.61,0.6,-0.1,0.0,8.64612,468.2566731770833,0.9965723690502415,-1.779998779296875,-0.0038103412137795445
2020-06-24,457.8500061035156,457.8500061035156,472.3599853515625,454.0,468.5400085449219,4826200.0,3050.33,106.83,1.1272,9284.1,-2.61,-0.7,-1.35,-0.09,0.27,0.0,8.53188,461.40333048502606,-1.4744028605202963,-8.410003662109375,-0.01820180650923664
2020-06-25,465.9100036621094,465.9100036621094,467.010009765625,454.0,458.8599853515625,4134500.0,3083.76,107.21,1.1221,9232.84,1.12,0.34,0.5,-0.79,0.16,0.0,8.40971,462.3066711425781,0.19558972923112705,8.05999755859375,0.017450857401408726
2020-06-26,443.3999938964844,443.3999938964844,468.0299987792969,442.239990234375,466.3900146484375,6804700.0,3009.05,107.19,1.1215,9157.22,-2.44,-0.2,-1.41,0.01,0.63,0.0,8.27959,451.22332763671875,-2.4266061052371946,-22.510009765625,-0.04952020686901637
2020-06-30,455.0400085449219,455.0400085449219,457.5899963378906,447.0,450.0199890136719,4198500.0,3100.29,107.77,1.1237,9129.47,1.58,0.0,0.02,-0.4,-0.31,0.0,7.67633,453.2100016276042,2.4254160087695986,7.800018310546875,0.017290004509363577
